№,Район,"Стоимость, руб./сут.","Предоплата, руб.","Площадь, м^2",Этаж,Ремонт,Парковка,Лифт
2,Октябрьский,2520,630,25,Верхний,евроремонт,да,да
3,Октябрьский,2300,460,30,Верхний,евроремонт,да,да
4,Октябрьский,3300,660,48,Верхний,евроремонт,да,да
5,Октябрьский,2290,458,42,Верхний,евроремонт,да,да
6,Октябрьский,4125,1031,37,Верхний,евроремонт,да,да
7,Октябрьский,3540,885,37,Верхний,евроремонт,да,да
11,Октябрьский,2290,458,46,Верхний,евроремонт,да,да
12,Октябрьский,2690,404,43,Верхний,евроремонт,да,да
13,Октябрьский,2862,572,20,Верхний,евроремонт,да,да
14,Октябрьский,3600,720,27,Верхний,евроремонт,да,да
15,Октябрьский,2800,560,40,Верхний,евроремонт,да,да
16,Октябрьский,4375,875,37,Верхний,евроремонт,да,да
18,Октябрьский,3200,640,56,Верхний,евроремонт,да,да
19,Октябрьский,2940,588,30,Верхний,евроремонт,да,да
20,Октябрьский,2200,440,36,Верхний,евроремонт,да,да
21,Октябрьский,3776,755,34,Верхний,евроремонт,да,да
22,Октябрьский,3362,672,35,Верхний,евроремонт,да,да
23,Октябрьский,2500,500,32,Нижний,евроремонт,да,да
24,Октябрьский,2500,500,28,Нижний,евроремонт,да,да
25,Октябрьский,2970,743,20,Нижний,косметический,нет,нет
26,Октябрьский,2250,450,40,Нижний,косметический,нет,нет
27,Октябрьский,2700,540,35,Нижний,евроремонт,да,да
28,Октябрьский,2600,520,44,Нижний,евроремонт,да,да
29,Октябрьский,3300,660,25,Нижний,косметический,нет,нет
31,Октябрьский,4000,1000,50,Нижний,евроремонт,да,да
32,Октябрьский,3000,600,40,Нижний,евроремонт,да,да
34,Октябрьский,3600,720,40,Нижний,евроремонт,да,да
36,Октябрьский,3661,915,36,Средний,евроремонт,да,да
37,Октябрьский,2050,900,33,Средний,евроремонт,да,да
38,Октябрьский,2500,500,45,Средний,евроремонт,да,да
39,Октябрьский,4000,1000,50,Средний,евроремонт,да,да
40,Октябрьский,4420,1105,58,Средний,евроремонт,да,да
41,Октябрьский,3800,760,35,Средний,евроремонт,да,да
43,Правобережный,3500,700,39,Верхний,косметический,нет,нет
44,Правобережный,2500,375,41,Верхний,евроремонт,нет,да
45,Правобережный,2400,360,40,Верхний,евроремонт,да,да
46,Правобережный,2200,330,40,Верхний,евроремонт,нет,да
48,Правобережный,2200,440,27,Верхний,евроремонт,да,да
